,Seller,Product,Price,Quality,Likes,Comments,Category,Log Price,Log Likes
0,tonicboy,bn av cable,0.0,1,14,Others,cables/adapters/switches,0.0,2.70805020110221
1,andysky,power adaptor 8 usb port,0.0,1,20,Preorder  ✨✨✨✨✨  Selling at $39  Registered mail add $3.20  🌟🌟🌟🌟🌟 Chat to buy!!,cables/adapters/switches,0.0,3.044522437723423
2,clearsound,zu audio megular component video cable,0.0,0,2,"Zu Audio 1.5m component video cable, in good condition to be given away free. Self collect. ",cables/adapters/switches,0.0,1.0986122886681098
3,semplice,baymax room light,0.0,1,25,Room accessories for decoration,lights,0.0,3.258096538021482
4,shamurai.san,sony original tablet power adaptor,0.0,0,1,Selling sony power adapter table working condition ..  My got crush as i seat onto my tablet so left with the adapter cable..   My was the pin is at the middle of the tablet..  Tablet yr ard 2012..,cables/adapters/switches,0.0,0.6931471805599453
5,sgchroma,ddr3 hot-rod red evo veloce dual channel pc3-12800 1600mhz c9 c10 & c11 evo veloce dual channel,0.0,1,8,DDR3 Hot-rod Red EVO VELOCE DUAL CHANNEL PC3-12800 1600MHz C9 C10 & C11 EVO VELOCE DUAL CHANNEL  Item is brand new unused in sealed pack. Warranty from local distributor. Price is not negotiable and fixed. No meetup and No exchange of items. Only genuine sellers contact me. Visit my shop at 05-50 Si,computers/parts,0.0,2.1972245773362196
6,mygame.pro,"gtx 1080 gundam online asia edition 52 vs 52 pvp 免費 pc 遊戲 online. ""100 gaming for free online"" massive 105 player online ""start gaming for free today""",0.0,1,5,"https://www.youtube.com/watch?v=lKbarh_Vnaw&t=41s https://www.youtube.com/watch?v=IRkNDdDhXvc&t=20s https://www.youtube.com/watch?v=BJRa4wzzx8c&t=39s     ""Char Aznable""  100% Authentic Guarantee with peace of Mind. Could had left it all for you for Tomorrow. But you ____________!!! https://www.youtu",computers/parts,0.0,1.791759469228055
7,sdg.mobile,remax anti-blue ray tempered glass,0.0,1,12,✔️Instock ✔️100% Authentic Remax Anti-Blue Ray Tempered glass ✔️Available in 2 colours (White and Black) ✔️Suitable for IPhone 6/6+  Item description:  🔴Strong 🔴Full coverage  🔴Protect eyes from blue ray from phone  Price: 1 for $10            4 for $37   Quality assured!,audio_visual,0.0,2.5649493574615367
8,dji_singapore,antenna for fpv racing,0.0,1,2,Others,others,0.0,1.0986122886681098
9,samtan12,any offer for this spoilt satarii sw1721 swivl personal cameraman,0.0,0,2,Any offer for this spoilt item?,others,0.0,1.0986122886681098
10,rachaelsaywhat,incase slider case iphone 5,0.0,0,8,Incase slider case for iPhone 5   Matte Black  Metallic Pink   $20 each  Got them for more than $25 USD,covers/cases,0.0,2.1972245773362196
11,miccheckonetwo,lectrosonics beltpack transmitter,0.0,0,5,For Rental  *Comes with Countryman B3 Omnidirectional Lavelier Microphone  *$60 with UCR411a Receiver *Available is 3 different frequency blocks  Please call +65 98711990 or email us at rental@miccheckonetwo.asia for more information.,others,0.0,1.791759469228055
12,bleeding_heart_1984,looking for harman kardon power charger,0.0,0,5,Anyone selling or knows where to buy pls watsapp mi at 81627398,keyboards/mouse/chargers,0.0,1.791759469228055
13,sirako,cisco cvr-x2-sfp10g modules : 10 pieces avail brand new,0.0,1,1,Cisco CVR-X2-SFP10G modules Brand new  10 pieces avail,others,0.0,0.6931471805599453
14,bizgramsales,"unifi ap,ac, in wall, pro",0.0,1,1,"Self Collect at Bizgram Asia Pte Ltd  1 Rochor Canal Road #05-50 Sim Lim Square, Singapore 188504  Condition: New  Specification: Dimensions: 139.7 x 86.7 x 25.75 mm (5.5 x 3.41 x 1.01"") Weight:  210 g (7.41 oz) Networking Interface: (5) 10/100/1000 Ethernet Ports Buttons: Reset Power Method: -802.3",others,0.0,0.6931471805599453
15,meganwong4,wireless keyboard and mouse new black,14.0,1,5,"Complete set tested good workable condition, keyboard and mouse sensitive response with dongle attached. contactless collection in Punggol area  Lrt only or my block downstair what you see is what you will get",keyboards/mouse/chargers,2.70805020110221,1.791759469228055
16,custombpa,3d printer cleaning filament esun,28.0,1,4,"ESUN cleaning filament( 100 grams ) , it has a wide temperature range 160°~300°.  This helps to purge out previous filaments and carbon blockages, recommended to use when changing of colors or material type.  This helps maintain your nozzle helping it last longer.",printers,3.367295829986474,1.6094379124341003
17,syaffceps_,viugreum flood light,30.0,1,1,"Viugreum 100W LED Flood Light Outdoor, Thinner and Lighter Design, Waterproof IP65, 10000LM Daylight White (6000-6500K), Super Bright Security Lights, for Garden, Yard, Warehouse, Square, Billboard",lights,3.4339872044851463,0.6931471805599453
18,dogmababy,"100 led outdoor fairy lights, 4 models timer programs, 8 mood light functions, 10m warm white",12.0,1,1,Clearance sale  Water proof decorative string lights  11M 100 LED Fairy Lights: A ++ Energy Efficiency LEDs. Continuous lighting of the chain can be maintained for over 100 hours. No longer needing an extension cord or external power supply. Need to buy 3 extra AA batteries. 4 modes of the timer pro,lights,2.5649493574615367,0.6931471805599453
19,omgsosexy,elfeland led strip lights 32.8ft/10m 300 leds ip65 5050 rgb light strips music sync color changing rope lights flexible tape light kit with app controller for bedroom home kitchen,40.0,1,8,"📱【APP Control & Mic Mode】Control the LED strip lights via APP, remote control and controller.The bluetooth strip light has a special music mode,built-in sensitivity adjustable microphone,create romance, relaxation, party ambiance with Music and Mic function,lights color will change with the music be",lights,3.713572066704308,2.1972245773362196
20,janlsl,magic eagle gaming keyboard and mouse combo set rainbow backlit,35.0,1,2,Brand New in box,keyboards/mouse/chargers,3.58351893845611,1.0986122886681098
21,realvaluedealssg,digital alarm clock with led backlit bnib,7.89,1,5,✓ Buy 2 for $15 ✓ Brand New - Neatly packed in a box  ✓ Attractive White Color  - LED display ✓ Check all photos for product description ✓ Batteries not included in Package  Self collect @ Punggol  (collect from a distance - strict CB measures apply)  #digital #alarmclock #alarm #LED  #compact #whit,time,2.1849270495258133,1.791759469228055
22,re3electronics,"thinlerain 15.6"" portable monitor",80.0,1,7,"Please note that the item is returned product from Amazon, hence the packaging is not brand new. However item is in an unused condition or tested for functionality. Not for fussy buyer.
 
 Strictly no meet-up during CB. Buyer to arrange own courier service for contactless pickup.
 
 Portable Monitor",audio_visual,4.394449154672439,2.0794415416798357
23,whimsicalfairy,lg smart tv camera an-vc500,20.0,1,3,brand new in box.  specs deets here: https://www.lg.com/us/tv-audio-video-accessories/lg-AN-VC500-video-call-camera-for-lg-smart-tvs  PM for details.,audio_visual,3.044522437723423,1.3862943611198906
24,javier_lim_bao_yi_98481834,intel e8400 delivery,15.0,0,1,Desktops,computers/parts,2.772588722239781,0.6931471805599453
